

episode,total_reward,steps
467,-0.7699999999999994,200
468,-1.4300000000000006,200
469,-0.8499999999999998,200
470,-0.3500000000000009,200
471,-0.8499999999999999,200
472,-1.02,200
473,-0.3600000000000005,200
474,-1.6200000000000006,200
475,-0.35999999999999827,200
476,-0.8899999999999999,200
477,-0.4500000000000003,200
478,-0.2200000000000008,200
479,-0.2999999999999998,200
480,-0.1999999999999999,200
481,-0.5700000000000006,200
482,-0.41000000000000014,200
483,-0.01000000000000012,200
484,-0.16000000000000003,200
485,-0.3300000000000004,200
486,-0.2099999999999999,200
487,-0.20000000000000004,200
488,-0.26,200
489,-0.27999999999999986,200
490,-1.0999999999999996,200
491,-1.399999999999999,200
492,-0.8899999999999996,200
493,-0.21999999999999897,200
494,-0.9500000000000005,200
495,-0.5200000000000002,200
496,-0.46999999999999986,200
497,-0.28000000000000075,200
498,-1.3599999999999994,200
499,-0.18000000000000027,200
500,-0.6199999999999999,200
501,-0.55,200
