episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
558391863642126658,200,-48.34,-10.64,-13.07,-10.34,-14.29
844990261043058238,200,-15.309999999999992,-3.2199999999999998,-11.09,-0.99,-0.010000000000000009
715487528552466171,200,-6.030000000000002,-1.48,-2.96,-1.0599999999999992,-0.53
504725692037725259,200,-23.00999999999999,-2.4,-4.67,-11.4,-4.54
485045788829203722,200,-4.250000000000003,-0.69,-0.7,-2.86,2.220446049250313e-16
531549893890561647,200,-6.679999999999987,-1.8899999999999997,-0.58,-2.11,-2.1
533685063373550790,200,-9.709999999999978,-4.95,-3.6400000000000006,-1.0900000000000003,-0.030000000000000027
597617248523442418,200,-4.450000000000011,-2.3000000000000003,-0.030000000000000693,-1.34,-0.78
255560573482541642,200,-13.039999999999996,-4.64,-4.04,-3.71,-0.6500000000000002
712554858470602827,200,-12.309999999999999,-5.37,-2.920000000000001,-2.9099999999999984,-1.11
827845586975161675,200,-83.36999999999999,-37.59,-24.37,-14.48,-6.93
735970941758864845,200,-11.20999999999999,-1.39,-3.57,-3.26,-2.99
566788689242311785,200,-4.2,-0.83,-2.95,-0.1499999999999999,-0.26999999999999996
